word,Tag,sentence_num
I,O,1
have,O,1
visited,O,1
Mount,B-mount,1
Fuji,I-mount,1
recently.,O,1
Mount,B-mount,2
Kosciuszko,I-mount,2
and,O,2
Mount,B-mount,2
Fuji,I-mount,2
are,O,2
popular,O,2
destinations.,O,2
Mount,B-mount,3
Everest,I-mount,3
is,O,3
known,O,3
for,O,3
its,O,3
beauty.,O,3
People,O,4
often,O,4
climb,O,4
Mount,B-mount,4
Aconcagua,I-mount,4
during,O,4
the,O,4
summer.,O,4
The,O,5
river,O,5
flows,O,5
through,O,5
the,O,5
valley.,O,5
I,O,6
have,O,6
visited,O,6
Mount,B-mount,6
McKinley,I-mount,6
recently.,O,6
The,B-mount,7
Himalayas,I-mount,7
is,O,7
known,O,7
for,O,7
its,O,7
beauty.,O,7
The,B-mount,8
peaks,O,8
of,O,8
Mount,B-mount,8
Everest,I-mount,8
are,O,8
covered,O,8
in,O,8
snow.,O,8
The,O,9
river,O,9
flows,O,9
through,O,9
the,O,9
valley.,O,9
I,O,10
have,O,10
visited,O,10
Annapurna,B-mount,10
recently.,O,10
I,O,11
have,O,11
visited,O,11
Mount,B-mount,11
Everest,I-mount,11
recently.,O,11
The,O,12
sun,O,12
sets,O,12
behind,O,12
the,O,12
hills,O,12
every,O,12
evening.,O,12
We,O,13
went,O,13
stargazing,O,13
last,O,13
night.,O,13
People,O,14
often,O,14
climb,O,14
Mount,B-mount,14
Olympus,I-mount,14
during,O,14
the,O,14
summer.,O,14
People,O,15
often,O,15
climb,O,15
Mount,B-mount,15
McKinley,I-mount,15
during,O,15
the,O,15
summer.,O,15
The,O,16
sun,O,16
sets,O,16
behind,O,16
the,O,16
hills,O,16
every,O,16
evening.,O,16
The,B-mount,17
peaks,O,17
of,O,17
K2,B-mount,17
are,O,17
covered,O,17
in,O,17
snow.,O,17
Mount,B-mount,18
Elbrus,I-mount,18
is,O,18
known,O,18
for,O,18
its,O,18
beauty.,O,18
Mount,B-mount,19
Kosciuszko,I-mount,19
is,O,19
known,O,19
for,O,19
its,O,19
beauty.,O,19
The,O,20
view,O,20
from,O,20
here,O,20
is,O,20
breathtaking.,O,20
I,O,21
have,O,21
visited,O,21
Annapurna,B-mount,21
recently.,O,21
K2,B-mount,22
is,O,22
known,O,22
for,O,22
its,O,22
beauty.,O,22
She,O,23
enjoys,O,23
camping,O,23
in,O,23
remote,O,23
areas.,O,23
We,O,24
went,O,24
stargazing,O,24
last,O,24
night.,O,24
The,O,25
forest,O,25
is,O,25
dense,O,25
and,O,25
full,O,25
of,O,25
life.,O,25
The,B-mount,26
Himalayas,I-mount,26
is,O,26
known,O,26
for,O,26
its,O,26
beauty.,O,26
People,O,27
often,O,27
climb,O,27
The,B-mount,27
Andes,I-mount,27
during,O,27
the,O,27
summer.,O,27
The,O,28
river,O,28
flows,O,28
through,O,28
the,O,28
valley.,O,28
I,O,29
have,O,29
visited,O,29
Mount,B-mount,29
Olympus,I-mount,29
recently.,O,29
Mount,B-mount,30
Aconcagua,I-mount,30
and,O,30
The,B-mount,30
Rockies,I-mount,30
are,O,30
popular,O,30
destinations.,O,30
K2,B-mount,31
is,O,31
known,O,31
for,O,31
its,O,31
beauty.,O,31
People,O,32
often,O,32
climb,O,32
Denali,B-mount,32
during,O,32
the,O,32
summer.,O,32
I,O,33
have,O,33
visited,O,33
Mount,B-mount,33
Whitney,I-mount,33
recently.,O,33
I,O,34
have,O,34
visited,O,34
The,B-mount,34
Himalayas,I-mount,34
recently.,O,34
She,O,35
enjoys,O,35
camping,O,35
in,O,35
remote,O,35
areas.,O,35
I,O,36
have,O,36
visited,O,36
The,B-mount,36
Himalayas,I-mount,36
recently.,O,36
Mount,B-mount,37
Aconcagua,I-mount,37
and,O,37
Mont,B-mount,37
Blanc,I-mount,37
are,O,37
popular,O,37
destinations.,O,37
The,B-mount,38
peaks,O,38
of,O,38
Annapurna,B-mount,38
are,O,38
covered,O,38
in,O,38
snow.,O,38
The,B-mount,39
peaks,O,39
of,O,39
The,B-mount,39
Himalayas,I-mount,39
are,O,39
covered,O,39
in,O,39
snow.,O,39
People,O,40
often,O,40
climb,O,40
Mount,B-mount,40
Elbrus,I-mount,40
during,O,40
the,O,40
